Material_Quality,Concrete_Grade,Steel_Grade,Age_of_Building,No_of_Floors,Foundation_Depth,Soil_Type,Seismic_Zone,Load_Bearing_Capacity,Moisture_Exposure,Maintenance_Frequency,Strength,Durability
1,M25,Fe500,41,2,11.9,Sandy,IV,426,Medium,1,30.04,13.83
7,M25,Fe415,29,10,19.5,Clay,II,365,Low,0,93.43,59.89
6,M30,Fe415,23,23,10.7,Clay,V,590,Low,5,98.34,72.61
7,M40,Fe415,18,21,13.3,Clay,II,315,Low,2,110.16,78.64
1,M40,Fe415,58,22,4.7,Loam,III,268,Medium,5,50.62,45.15
4,M40,Fe415,4,2,3.6,Rocky,III,190,Low,4,60.25,57.26
9,M25,Fe500,22,6,14.3,Loam,IV,329,Low,5,97.9,91.1
7,M40,Fe415,50,18,4.3,Clay,V,415,Low,4,81.12,71.63
2,M40,Fe415,35,11,19.7,Loam,I,416,Medium,4,79.45,45.93
5,M25,Fe500,6,11,9.0,Loam,III,589,Medium,3,63.04,46.53
4,M20,Fe415,42,23,5.6,Rocky,IV,382,Low,3,57.94,51.65
8,M30,Fe415,12,10,4.6,Sandy,II,381,Medium,5,82.03,67.01
1,M40,Fe415,27,23,17.4,Sandy,III,194,Low,5,57.24,50.82
2,M20,Fe500,11,3,19.1,Sandy,II,539,Low,2,54.47,52.38
1,M25,Fe415,41,11,12.1,Rocky,III,341,Low,5,40.62,47.61
5,M40,Fe500,53,3,3.8,Clay,II,251,Medium,3,62.87,32.99
1,M20,Fe500,18,9,9.2,Sandy,III,449,Low,1,18.57,7.5
9,M30,Fe500,42,24,8.5,Rocky,V,181,High,1,108.56,49.91
4,M20,Fe500,31,14,14.5,Rocky,III,508,Low,4,63.23,59.05
5,M25,Fe500,57,21,16.5,Clay,I,314,Medium,3,69.03,48.94
3,M20,Fe500,56,12,12.0,Loam,III,556,Low,5,52.54,49.41
7,M30,Fe415,54,17,18.9,Clay,III,236,Low,5,107.28,89.92
10,M30,Fe500,59,7,15.9,Loam,V,299,Medium,1,116.79,72.13
5,M40,Fe500,20,5,14.2,Rocky,III,385,High,3,81.07,43.69
3,M25,Fe500,30,17,14.3,Loam,III,564,High,1,60.26,27.22
1,M40,Fe415,51,4,8.5,Clay,V,160,Medium,1,44.32,16.99
5,M30,Fe415,8,5,5.8,Rocky,III,564,High,3,55.87,29.45
1,M30,Fe500,42,19,14.2,Clay,IV,324,High,0,55.47,15.89
3,M25,Fe415,46,21,7.7,Sandy,V,200,Medium,3,47.34,25.08
9,M30,Fe415,50,6,7.0,Sandy,IV,503,Medium,2,91.87,63.69
2,M40,Fe500,18,1,17.7,Clay,V,191,Medium,0,56.66,23.11
10,M25,Fe415,59,18,11.8,Rocky,IV,445,Medium,1,102.47,70.48
8,M40,Fe500,28,23,17.7,Loam,IV,255,Medium,2,140.54,97.67
9,M20,Fe500,11,20,19.0,Loam,II,561,Medium,2,121.72,80.2
10,M30,Fe415,52,22,16.4,Sandy,V,215,High,2,128.66,69.88
2,M30,Fe415,32,10,8.1,Sandy,III,377,Low,1,49.07,37.44
1,M40,Fe415,29,17,19.0,Sandy,III,415,Medium,3,74.67,52.69
4,M30,Fe500,1,15,3.6,Rocky,V,510,Medium,5,58.4,56.57
10,M30,Fe500,5,9,3.9,Clay,V,471,High,3,103.87,55.54
4,M20,Fe500,25,5,13.1,Sandy,I,250,Low,5,56.81,57.5
6,M40,Fe500,17,21,10.9,Clay,IV,371,Low,3,99.17,72.17
10,M25,Fe500,32,7,19.1,Clay,I,272,Medium,5,100.36,74.94
8,M40,Fe500,40,24,11.3,Clay,II,548,Medium,3,128.47,88.39
3,M25,Fe415,13,14,4.9,Rocky,V,231,Medium,3,30.62,18.3
2,M20,Fe415,40,2,8.6,Rocky,V,332,Low,0,32.02,20.62
8,M20,Fe500,0,11,7.5,Rocky,II,463,Medium,4,85.44,55.34
2,M30,Fe500,1,13,13.4,Clay,IV,418,Medium,4,60.23,45.58
5,M40,Fe500,49,21,9.5,Rocky,V,243,High,1,82.55,41.41
6,M25,Fe500,8,24,19.1,Rocky,III,504,Low,3,92.16,70.54
9,M20,Fe415,2,4,8.1,Clay,II,493,High,5,75.98,47.95
5,M20,Fe500,1,10,10.2,Rocky,IV,366,High,5,57.89,33.1
9,M25,Fe500,27,16,17.2,Rocky,I,424,High,0,112.56,63.03
4,M40,Fe500,36,7,15.6,Loam,I,480,High,4,76.71,49.95
7,M20,Fe415,54,21,18.6,Rocky,IV,502,High,2,120.84,60.96
8,M20,Fe415,9,4,13.6,Sandy,III,588,High,4,87.99,55.5
10,M40,Fe415,51,12,5.4,Loam,II,294,Low,5,110.87,101.85
5,M25,Fe500,58,3,5.7,Rocky,III,486,Low,4,35.98,42.36
4,M40,Fe415,19,10,7.3,Rocky,IV,488,Medium,1,66.34,36.97
2,M25,Fe415,45,16,6.7,Loam,V,240,High,3,33.84,8.83
6,M30,Fe415,56,12,19.0,Rocky,I,288,Medium,3,113.0,75.11
1,M40,Fe415,45,1,4.5,Sandy,III,228,High,2,30.07,8.87
7,M40,Fe500,45,13,3.7,Sandy,V,390,Medium,4,103.18,81.5
10,M25,Fe415,35,19,14.5,Clay,I,410,High,1,112.08,63.15
4,M40,Fe500,21,14,17.1,Loam,IV,544,Medium,3,81.93,63.75
6,M30,Fe415,6,13,15.9,Sandy,II,484,Low,4,80.85,68.27
2,M30,Fe500,1,11,6.8,Clay,IV,379,Low,3,51.78,29.46
1,M30,Fe500,4,21,14.4,Clay,II,201,Medium,2,35.43,25.7
5,M20,Fe415,21,14,16.6,Clay,I,219,Low,3,76.58,52.06
7,M20,Fe500,7,3,13.9,Loam,II,427,Medium,1,73.01,48.39
7,M30,Fe500,26,15,3.1,Rocky,I,277,Medium,5,91.12,58.99
5,M20,Fe500,41,21,13.9,Clay,IV,223,High,5,83.61,50.02
9,M25,Fe415,36,8,11.9,Rocky,III,508,High,1,99.31,46.67
7,M40,Fe500,42,12,5.1,Rocky,II,478,High,3,84.56,56.1
10,M40,Fe415,53,14,16.7,Loam,IV,166,Medium,4,140.49,102.47
8,M30,Fe500,28,11,16.5,Sandy,V,395,High,0,110.41,54.01
6,M25,Fe500,38,20,10.5,Rocky,I,408,High,3,82.09,41.87
2,M40,Fe415,47,7,9.4,Clay,I,200,Medium,2,50.61,37.16
10,M30,Fe500,31,24,12.7,Loam,III,465,Medium,2,121.59,79.52
8,M30,Fe415,4,6,14.0,Sandy,I,270,Low,4,108.21,88.67
2,M20,Fe500,12,21,13.9,Sandy,II,180,Low,0,63.24,42.01
5,M30,Fe500,1,20,12.1,Loam,IV,241,Medium,4,81.66,46.24
7,M25,Fe415,39,4,6.4,Rocky,III,159,Medium,1,72.29,46.11
5,M40,Fe415,58,7,9.2,Sandy,V,343,Medium,4,79.93,68.34
3,M40,Fe500,44,13,20.0,Loam,V,249,High,2,92.69,46.64
10,M40,Fe415,18,6,19.5,Clay,I,561,Low,1,139.0,113.88
2,M25,Fe500,24,1,3.6,Rocky,II,262,High,2,22.33,-1.69
9,M25,Fe415,15,7,11.2,Loam,II,210,Medium,1,96.31,54.74
10,M40,Fe415,43,22,11.5,Sandy,IV,422,Low,4,123.08,108.76
3,M30,Fe500,35,9,18.3,Loam,I,489,High,3,72.11,37.5
5,M40,Fe500,48,8,18.3,Rocky,III,579,Low,2,92.69,68.72
5,M20,Fe415,32,12,16.2,Sandy,V,395,Low,3,77.43,61.41
2,M20,Fe500,1,23,3.4,Rocky,II,450,Medium,4,41.91,30.51
10,M20,Fe415,39,16,14.0,Rocky,V,295,Low,0,113.11,76.75
4,M30,Fe415,26,3,9.8,Rocky,I,503,Medium,4,53.61,43.72
4,M25,Fe415,46,2,4.8,Sandy,I,387,High,4,27.35,0.16
4,M30,Fe500,28,23,14.4,Rocky,III,448,Medium,4,73.69,54.44
6,M30,Fe415,7,9,7.5,Loam,III,574,Medium,5,86.79,73.32
2,M20,Fe500,44,10,15.3,Loam,III,182,Medium,3,44.3,22.08
3,M30,Fe415,31,5,18.1,Rocky,II,191,Medium,0,71.43,40.9
6,M40,Fe500,20,12,17.1,Rocky,III,304,Medium,2,110.82,65.49
9,M25,Fe500,35,2,15.4,Sandy,IV,225,Medium,2,95.77,73.62
8,M30,Fe415,38,15,14.9,Rocky,III,376,Medium,1,118.28,70.43
10,M40,Fe500,11,20,5.4,Loam,III,181,Low,0,118.76,76.75
9,M20,Fe500,15,4,11.7,Sandy,I,370,Low,2,98.38,70.41
7,M30,Fe415,37,18,7.6,Rocky,V,267,Medium,2,85.95,58.96
5,M25,Fe500,58,4,4.7,Rocky,V,595,Low,5,49.88,43.44
4,M30,Fe415,32,6,11.6,Clay,V,366,High,1,72.11,30.84
7,M25,Fe500,50,10,8.5,Clay,I,533,High,0,85.85,38.54
4,M30,Fe415,4,22,4.4,Rocky,II,340,Low,0,64.7,43.36
1,M20,Fe415,6,12,9.9,Loam,V,357,High,1,43.74,10.69
6,M20,Fe500,28,5,4.9,Sandy,II,339,Low,2,72.35,67.76
6,M20,Fe415,44,2,9.5,Sandy,I,502,High,0,59.88,21.17
10,M30,Fe415,58,14,17.0,Loam,IV,579,Medium,4,120.7,72.26
10,M20,Fe500,52,18,19.2,Sandy,I,445,Low,5,116.32,97.12
3,M40,Fe500,18,6,18.1,Clay,I,385,Medium,1,84.66,44.32
3,M40,Fe500,50,14,16.0,Rocky,IV,543,High,3,72.29,37.07
9,M20,Fe415,13,23,4.7,Rocky,IV,428,High,3,93.51,46.36
6,M20,Fe500,2,9,10.7,Rocky,II,562,High,2,72.77,30.97
7,M25,Fe415,19,22,4.5,Clay,II,167,High,0,86.6,38.25
1,M40,Fe415,26,4,10.8,Clay,IV,511,High,5,41.81,15.94
4,M40,Fe415,5,4,14.0,Clay,II,150,High,0,71.58,28.36
2,M25,Fe415,7,13,17.1,Clay,II,590,Low,1,40.11,38.65
3,M25,Fe415,45,13,14.9,Sandy,I,200,High,1,52.4,21.61
8,M20,Fe415,34,21,6.3,Clay,V,506,Medium,4,73.89,49.44
8,M25,Fe415,38,23,4.4,Clay,II,429,Low,3,91.24,82.24
2,M40,Fe415,24,7,11.2,Sandy,II,564,High,3,63.86,43.93
5,M25,Fe415,7,21,16.5,Loam,II,300,Low,5,75.97,70.09
3,M20,Fe500,9,19,15.7,Rocky,IV,190,Medium,0,57.99,35.76
5,M25,Fe500,28,4,6.7,Clay,II,208,Low,1,50.94,40.11
10,M40,Fe500,13,13,6.9,Sandy,IV,248,High,2,115.88,65.04
1,M30,Fe415,27,17,13.1,Loam,II,246,Medium,3,50.9,40.03
10,M20,Fe415,32,15,19.4,Sandy,V,319,Medium,0,129.13,77.59
5,M20,Fe415,55,12,14.5,Clay,IV,533,Low,0,82.59,56.88
10,M25,Fe415,47,4,11.3,Clay,IV,170,High,2,110.27,57.17
6,M25,Fe415,23,3,3.5,Loam,IV,559,High,1,64.53,38.1
4,M25,Fe500,17,20,17.4,Loam,III,235,Low,5,70.22,66.68
8,M20,Fe415,27,12,11.7,Clay,V,288,High,2,96.68,56.43
4,M20,Fe500,13,16,14.5,Loam,III,313,Medium,5,66.09,60.09
5,M25,Fe500,23,8,17.1,Loam,III,210,Low,4,75.29,68.06
8,M30,Fe500,41,20,18.2,Clay,V,324,Medium,0,111.81,71.17
10,M30,Fe500,24,24,8.6,Sandy,III,536,High,4,126.1,75.66
1,M30,Fe415,40,1,11.3,Rocky,V,183,Low,1,41.31,25.43
1,M30,Fe500,45,12,6.1,Loam,V,318,Low,2,8.2,16.79
8,M25,Fe500,6,15,14.8,Rocky,IV,261,Low,1,93.44,69.6
8,M40,Fe415,38,3,5.8,Loam,I,513,High,3,91.43,44.59
1,M30,Fe415,55,3,8.4,Clay,II,382,High,4,48.6,31.89
4,M20,Fe500,44,14,14.5,Clay,IV,246,High,5,70.56,41.82
3,M25,Fe500,21,23,5.4,Clay,V,572,High,2,37.53,10.79
8,M40,Fe500,10,9,13.7,Clay,V,497,Low,1,114.23,87.61
6,M30,Fe415,39,18,12.9,Loam,IV,585,Low,3,97.49,84.96
2,M20,Fe415,34,18,11.3,Loam,III,195,High,2,34.43,7.77
2,M25,Fe500,27,11,18.9,Rocky,III,288,Medium,4,51.7,33.29
5,M30,Fe415,23,24,19.4,Rocky,I,255,High,4,102.51,52.09
3,M20,Fe415,54,1,14.5,Rocky,II,385,High,5,40.77,17.56
10,M40,Fe415,22,6,9.2,Rocky,I,156,Low,5,124.93,105.15
8,M30,Fe415,11,18,7.6,Sandy,III,446,High,4,89.25,65.4
1,M25,Fe415,38,17,12.1,Sandy,I,178,Low,5,43.41,53.15
3,M40,Fe500,26,20,18.2,Clay,II,351,High,0,82.97,44.57
7,M40,Fe500,36,18,8.2,Clay,V,357,High,3,95.9,61.32
4,M30,Fe415,59,6,19.5,Sandy,I,201,Medium,1,81.09,51.42
3,M30,Fe415,2,3,12.7,Sandy,I,225,Low,3,45.74,42.93
5,M40,Fe500,0,9,14.3,Sandy,IV,177,Medium,4,76.66,52.43
4,M30,Fe415,20,23,13.4,Rocky,V,434,High,1,90.11,42.95
10,M40,Fe500,13,22,9.5,Sandy,II,408,High,1,131.87,71.22
8,M30,Fe415,56,22,10.7,Clay,I,594,Medium,0,107.77,62.43
1,M30,Fe415,25,17,13.6,Rocky,V,218,Low,1,54.1,52.18
1,M30,Fe415,48,19,7.9,Sandy,V,541,Low,1,39.26,32.1
3,M20,Fe500,25,18,5.6,Clay,III,323,High,0,48.52,14.18
10,M30,Fe415,17,7,9.6,Loam,I,341,Medium,3,111.28,75.47
4,M25,Fe500,25,6,8.7,Rocky,IV,259,High,4,56.43,33.01
6,M30,Fe415,19,7,7.8,Sandy,IV,413,High,4,73.0,50.39
4,M30,Fe415,1,14,17.4,Sandy,IV,345,Medium,0,76.67,38.93
5,M30,Fe415,52,9,9.2,Loam,V,197,High,3,59.25,23.1
2,M20,Fe500,13,5,16.3,Rocky,II,304,Medium,0,51.85,26.08
4,M20,Fe500,53,1,6.1,Rocky,V,581,Medium,0,36.48,8.21
10,M30,Fe415,33,8,18.7,Rocky,III,516,High,1,120.41,73.49
9,M40,Fe500,35,7,15.3,Rocky,II,435,High,2,122.18,78.22
7,M40,Fe415,48,24,17.4,Clay,I,388,Low,5,116.88,104.12
2,M40,Fe500,26,3,18.0,Sandy,IV,268,Medium,5,68.57,51.58
5,M30,Fe500,21,16,19.3,Rocky,V,428,Low,1,102.84,77.59
4,M30,Fe415,7,15,14.8,Loam,IV,346,Low,4,70.18,73.88
7,M25,Fe500,17,9,16.8,Loam,II,168,Low,2,84.38,57.27
9,M20,Fe415,31,24,13.6,Rocky,II,509,Low,1,113.13,83.5
7,M40,Fe500,5,21,5.1,Clay,III,387,Low,5,96.21,88.16
7,M20,Fe415,37,11,16.2,Loam,I,259,Low,4,79.42,67.26
10,M30,Fe415,24,2,8.1,Clay,IV,506,High,0,106.47,52.13
3,M40,Fe500,6,16,16.8,Sandy,I,177,Medium,1,91.1,52.71
7,M25,Fe415,9,10,4.0,Loam,II,214,Low,3,64.34,49.87
10,M25,Fe500,46,10,9.5,Sandy,I,361,Low,4,122.12,96.33
3,M25,Fe500,2,15,7.3,Loam,III,491,Low,5,46.72,42.16
1,M40,Fe415,34,10,12.6,Sandy,I,344,Medium,1,45.87,24.03
10,M25,Fe500,53,12,7.0,Rocky,V,508,High,5,94.66,65.96
8,M25,Fe500,48,11,14.2,Sandy,I,186,Medium,0,95.17,59.0
6,M25,Fe415,24,15,19.0,Clay,I,222,High,0,99.14,62.38
10,M30,Fe415,19,8,18.2,Rocky,I,595,Low,4,114.78,91.06
10,M40,Fe415,26,4,12.2,Loam,II,471,Medium,1,124.05,83.89
7,M40,Fe415,28,22,18.0,Sandy,I,586,High,3,121.96,84.97
7,M20,Fe500,46,20,9.5,Sandy,II,379,High,5,87.86,56.4
6,M25,Fe415,14,19,7.6,Clay,II,488,Low,1,68.58,48.06
10,M20,Fe415,49,21,9.1,Sandy,III,233,High,4,122.24,89.06
4,M20,Fe415,48,22,20.0,Clay,III,263,Low,2,87.27,61.13
9,M25,Fe415,0,7,17.1,Rocky,II,441,Low,0,111.95,78.92
10,M40,Fe415,47,23,3.3,Rocky,V,523,Low,0,136.19,91.22
8,M40,Fe500,52,10,13.2,Rocky,I,513,Low,2,119.36,91.07
7,M20,Fe500,6,17,19.6,Clay,I,150,Medium,3,84.17,59.97
4,M20,Fe415,55,19,3.6,Rocky,I,414,Low,0,48.15,28.78
7,M25,Fe500,12,4,8.9,Clay,II,540,Medium,5,78.28,48.3
7,M25,Fe415,14,8,10.6,Clay,III,494,Low,5,68.22,56.16
3,M30,Fe415,3,16,12.1,Loam,IV,549,Medium,2,78.18,52.41
7,M20,Fe500,38,7,8.4,Loam,I,284,Low,0,76.23,49.61
6,M25,Fe500,45,17,10.3,Sandy,I,381,Low,4,71.56,67.95
1,M40,Fe415,31,18,17.5,Clay,V,558,Low,4,61.54,53.11
5,M20,Fe500,18,15,4.6,Clay,V,161,Low,1,50.11,39.87
3,M30,Fe415,0,23,6.0,Sandy,V,198,Low,4,59.5,57.72
6,M25,Fe415,7,12,4.5,Sandy,V,285,Medium,0,71.72,41.6
8,M40,Fe415,29,5,12.1,Loam,I,271,Low,5,113.41,98.66
5,M20,Fe500,0,12,4.8,Rocky,III,415,Low,3,56.93,44.66
9,M40,Fe500,59,15,12.3,Loam,I,542,Low,3,124.23,96.41
4,M30,Fe500,32,18,18.8,Sandy,I,216,High,4,78.21,46.54
5,M40,Fe500,29,24,14.9,Rocky,II,489,Low,0,89.82,68.75
2,M30,Fe415,59,9,18.7,Sandy,V,338,Low,4,64.52,47.6
3,M20,Fe500,38,4,6.8,Clay,III,355,Medium,3,30.58,17.55
5,M40,Fe415,22,17,11.2,Rocky,IV,200,High,1,92.56,49.5
2,M25,Fe500,36,14,18.4,Clay,III,294,Medium,5,49.56,43.92
10,M20,Fe500,15,8,6.6,Loam,V,302,Low,5,99.66,91.48
7,M40,Fe415,11,16,15.2,Clay,IV,586,Medium,2,108.06,60.58
8,M20,Fe415,31,22,4.4,Loam,I,252,High,5,93.77,76.6
6,M20,Fe415,48,8,5.4,Clay,IV,185,Medium,0,69.84,40.81
6,M25,Fe415,29,6,14.3,Sandy,V,411,High,0,75.37,32.84
1,M20,Fe500,44,14,14.3,Sandy,III,234,Low,5,48.44,54.21
7,M25,Fe415,7,19,8.6,Loam,III,327,Medium,4,79.86,54.73
9,M30,Fe500,16,23,8.5,Sandy,III,199,High,3,109.47,63.95
8,M40,Fe415,45,1,10.6,Loam,I,153,Medium,4,115.29,86.38
2,M40,Fe415,4,13,14.0,Sandy,II,466,High,3,64.73,34.97
4,M40,Fe500,40,6,6.1,Rocky,V,563,Medium,2,56.72,31.44
2,M30,Fe500,45,14,14.7,Rocky,V,400,Low,0,61.52,51.43
8,M40,Fe415,20,17,17.8,Sandy,III,386,High,3,110.07,65.68
7,M30,Fe415,49,7,18.6,Rocky,V,327,Low,2,119.41,88.9
7,M25,Fe500,26,14,15.0,Clay,I,598,High,0,88.71,48.17
1,M30,Fe500,26,8,8.5,Loam,IV,430,Medium,0,32.47,16.17
8,M30,Fe500,57,10,19.6,Sandy,V,597,High,3,116.19,67.59
1,M30,Fe500,31,5,16.3,Loam,IV,230,Medium,0,35.9,21.33
4,M25,Fe415,15,19,11.0,Rocky,IV,419,High,1,70.41,29.8
7,M25,Fe500,59,19,17.1,Loam,II,293,High,5,89.51,61.22
8,M30,Fe500,53,10,17.6,Sandy,II,571,Low,0,116.81,91.03
9,M20,Fe415,42,11,6.2,Rocky,I,479,Low,4,103.71,72.71
3,M30,Fe415,34,3,9.2,Rocky,V,520,Medium,0,52.53,20.75
4,M25,Fe500,4,1,13.8,Loam,V,408,High,4,53.32,20.24
9,M40,Fe500,22,20,11.0,Rocky,IV,221,High,2,112.08,69.98
10,M25,Fe415,20,1,9.5,Sandy,IV,274,Medium,5,81.6,74.81
1,M25,Fe415,15,9,8.4,Loam,V,385,Low,4,24.71,26.84
6,M20,Fe415,44,20,17.5,Clay,III,260,Medium,1,87.88,54.24
9,M40,Fe500,45,10,8.5,Sandy,IV,567,High,0,107.75,44.7
2,M25,Fe500,37,8,6.7,Rocky,I,158,Low,5,28.73,35.38
9,M40,Fe500,55,21,15.5,Sandy,V,212,High,5,125.1,79.64
5,M40,Fe415,3,6,13.4,Loam,V,505,Low,4,79.91,74.11
5,M30,Fe415,42,12,9.2,Rocky,III,183,Low,3,70.96,56.92
3,M30,Fe415,56,13,8.5,Clay,V,430,Medium,3,62.23,52.21
5,M25,Fe415,48,1,14.8,Sandy,II,456,Medium,2,57.68,37.58
3,M40,Fe500,11,6,5.3,Clay,IV,379,Low,4,53.09,35.97
3,M40,Fe415,52,13,17.6,Rocky,II,482,High,0,70.49,25.1
5,M40,Fe500,14,18,7.0,Sandy,II,546,Low,1,91.63,77.14
9,M25,Fe415,9,20,12.3,Sandy,I,525,High,2,97.79,59.46
7,M40,Fe415,31,22,3.1,Rocky,IV,493,Low,4,102.68,91.84
7,M40,Fe415,36,7,13.7,Clay,IV,264,High,2,106.49,69.63
8,M20,Fe415,39,21,10.3,Rocky,V,154,Medium,0,88.85,47.15
3,M25,Fe415,43,23,3.5,Sandy,V,282,Medium,3,41.63,25.52
1,M40,Fe415,57,12,3.1,Loam,II,335,Medium,5,49.16,36.5
6,M30,Fe500,5,7,4.7,Sandy,II,257,Low,3,71.0,61.43
10,M25,Fe415,49,11,3.4,Clay,II,481,High,2,102.28,63.36
2,M25,Fe415,46,9,13.7,Sandy,III,511,Low,0,35.17,30.23
10,M20,Fe500,0,7,16.2,Sandy,III,503,High,3,107.45,61.62
10,M25,Fe500,42,8,19.3,Clay,III,540,High,2,122.8,63.02
3,M40,Fe500,37,11,7.1,Clay,IV,495,Medium,4,66.3,49.49
7,M40,Fe500,41,4,4.1,Clay,V,364,Medium,2,86.03,51.88
7,M40,Fe500,1,8,18.1,Clay,IV,196,Low,0,98.67,75.75
3,M25,Fe500,31,20,13.6,Sandy,I,353,Medium,4,66.19,53.01
9,M30,Fe415,41,19,17.4,Sandy,V,446,Medium,5,123.82,95.01
10,M25,Fe415,58,15,19.3,Sandy,IV,426,Medium,1,125.83,81.56
6,M25,Fe415,30,16,11.7,Loam,II,560,High,1,72.69,37.83
4,M25,Fe500,53,22,17.7,Rocky,I,274,High,3,84.27,49.48
2,M20,Fe500,9,13,17.9,Clay,V,168,Medium,4,45.13,42.03
5,M30,Fe415,11,5,6.2,Clay,I,178,Low,5,63.49,63.03
8,M40,Fe415,46,11,8.7,Clay,I,530,Medium,1,116.7,78.11
1,M40,Fe500,43,11,11.3,Rocky,IV,524,Low,4,61.82,38.68
4,M20,Fe415,55,15,15.6,Sandy,II,264,Low,4,70.02,63.49
6,M25,Fe500,37,24,14.8,Sandy,I,514,Medium,3,79.86,62.95
5,M30,Fe500,35,11,17.9,Sandy,V,269,High,4,85.54,46.78
10,M30,Fe415,9,17,8.5,Rocky,II,455,Low,0,139.37,94.88
2,M25,Fe500,50,4,9.8,Loam,IV,370,High,0,38.32,10.31
1,M20,Fe500,26,18,14.0,Clay,IV,157,High,5,32.5,24.83
6,M30,Fe500,22,12,17.7,Sandy,I,390,Low,1,101.21,81.38
7,M20,Fe500,22,11,10.9,Clay,V,323,Low,3,80.66,58.52
5,M40,Fe500,13,11,11.5,Loam,I,580,High,4,87.01,45.18
6,M25,Fe415,54,1,8.9,Sandy,V,540,Medium,3,47.51,31.67
1,M40,Fe415,12,20,16.0,Clay,III,157,Medium,3,74.0,47.12
5,M40,Fe415,44,10,3.7,Sandy,II,351,Medium,0,70.11,45.3
6,M25,Fe500,51,6,8.4,Loam,IV,443,Medium,5,87.61,64.78
8,M20,Fe500,19,3,15.4,Rocky,III,336,Low,1,80.29,58.68
3,M20,Fe415,57,6,14.1,Rocky,II,480,High,5,38.27,15.05
4,M25,Fe500,35,7,8.0,Sandy,IV,349,High,4,48.15,30.68
9,M30,Fe415,7,21,19.0,Rocky,I,594,Medium,5,125.62,87.51
6,M25,Fe500,2,12,18.0,Rocky,V,458,High,0,90.69,43.68
10,M30,Fe415,6,22,11.8,Loam,IV,227,Low,4,119.77,88.94
2,M20,Fe415,50,4,14.1,Loam,V,479,Medium,5,48.1,33.79
9,M20,Fe415,41,6,11.5,Sandy,II,404,High,4,97.22,62.92
8,M20,Fe500,0,7,16.6,Rocky,III,594,High,5,85.66,50.81
5,M40,Fe500,15,3,4.6,Rocky,I,266,Medium,4,64.57,50.86
3,M20,Fe500,47,22,19.6,Loam,IV,223,Medium,3,76.51,55.31
10,M40,Fe500,2,16,5.5,Sandy,V,491,Low,3,95.91,86.37
7,M30,Fe415,41,18,15.5,Clay,V,180,Medium,0,102.07,55.91
5,M20,Fe415,0,19,12.4,Loam,IV,410,Medium,5,61.14,43.66
9,M20,Fe500,47,4,16.8,Clay,II,437,Low,4,96.29,77.97
1,M30,Fe500,35,8,4.9,Rocky,II,436,Low,5,24.61,33.89
4,M30,Fe500,59,5,4.7,Sandy,V,209,High,3,50.22,13.42
3,M40,Fe415,50,16,4.7,Clay,V,197,Low,5,70.84,68.41
7,M25,Fe500,38,1,10.5,Loam,III,332,High,3,74.07,39.92
5,M20,Fe500,3,4,7.4,Clay,I,501,High,4,62.55,24.87
4,M40,Fe415,27,2,8.3,Sandy,II,313,High,0,68.64,32.82
7,M25,Fe500,40,15,18.5,Rocky,II,254,Medium,3,101.26,70.5
8,M20,Fe415,50,21,16.3,Sandy,IV,298,Low,5,102.1,75.34
9,M40,Fe415,17,18,4.0,Loam,II,316,Low,2,117.47,94.56
10,M20,Fe415,40,22,11.0,Clay,II,478,Medium,1,111.6,71.4
4,M20,Fe500,40,3,8.2,Clay,III,348,Medium,2,35.75,19.25
9,M40,Fe415,41,10,13.0,Rocky,I,561,Medium,0,118.99,77.04
9,M20,Fe500,1,1,16.7,Rocky,I,274,High,3,83.12,47.46
7,M20,Fe500,20,5,7.9,Loam,IV,400,High,1,65.1,31.67
5,M40,Fe415,52,10,7.6,Loam,V,488,Low,0,78.14,58.88
5,M40,Fe415,27,14,3.0,Clay,IV,186,High,0,90.73,32.76
10,M30,Fe415,30,19,10.8,Loam,V,552,Medium,5,124.59,87.12
1,M25,Fe415,58,13,15.2,Loam,V,576,High,4,45.88,32.78
5,M30,Fe415,36,18,12.2,Rocky,III,340,High,3,93.42,56.66
8,M20,Fe415,3,18,11.0,Clay,III,237,Low,1,84.98,62.92
9,M25,Fe415,40,16,8.0,Rocky,III,439,Low,1,107.0,77.35
8,M20,Fe500,4,15,14.6,Sandy,IV,334,High,5,106.3,81.51
1,M30,Fe500,51,8,17.0,Rocky,V,426,High,2,49.87,26.28
7,M30,Fe500,15,7,14.7,Clay,II,303,Medium,5,96.2,82.04
7,M20,Fe415,25,14,8.2,Rocky,V,463,Low,0,78.62,53.6
3,M25,Fe415,20,13,17.3,Clay,I,460,Medium,4,58.21,42.17
3,M30,Fe415,29,22,17.8,Sandy,II,575,Medium,3,73.39,52.49
2,M30,Fe415,34,21,7.2,Clay,I,356,Medium,4,47.5,35.82
5,M25,Fe500,10,11,3.1,Loam,III,352,Medium,4,47.64,27.97
6,M20,Fe500,23,3,12.4,Sandy,V,541,High,2,64.17,26.76
6,M30,Fe415,28,9,6.7,Sandy,III,578,Medium,0,75.75,49.18
2,M30,Fe500,22,11,6.2,Sandy,II,490,High,2,47.78,8.83
9,M25,Fe500,7,19,6.3,Rocky,III,519,High,3,98.99,76.64
4,M25,Fe500,51,11,17.7,Sandy,V,599,Medium,0,68.54,35.85
9,M40,Fe500,17,17,6.1,Clay,III,275,High,0,110.46,62.65
5,M40,Fe500,57,12,13.6,Sandy,IV,347,Low,1,106.34,73.6
